Namespace(local_rank=0, model_name='gpt-4o', dataset_name='simpleqa', rep=2, top_k=10, attack_method='Poison', defense_method='keyword', alpha=0.3, beta=3.0, eta=0.0, temperature=1.0, debug=False, save_response=False, use_cache=False, no_vanilla=False)
Loading data from data/simpleqa.json......
Total samples: 500
abs: 3.0, relative: 0.3
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
Abstain from making response...
