gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.8,0,0.465,0.44,0.39,0.34
0.8,1,0.455,0.485,0.47,0.31
0.8,2,0.47,0.54,0.41,0.235
0.8,3,0.515,0.58,0.34,0.2
0.8,4,0.56,0.63,0.3,0.165
0.8,5,0.54,0.61,0.26,0.135
0.8,6,0.565,0.635,0.25,0.125
0.8,7,0.56,0.615,0.27,0.125
0.8,8,0.575,0.62,0.24,0.12
0.8,9,0.56,0.635,0.27,0.13
1.0,0,0.465,0.585,0.4,0.15
1.0,1,0.435,0.585,0.45,0.185
1.0,2,0.49,0.575,0.37,0.165
1.0,3,0.52,0.595,0.34,0.165
1.0,4,0.565,0.6,0.28,0.18
1.0,5,0.555,0.565,0.23,0.185
1.0,6,0.595,0.595,0.24,0.17
