gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.5,0,0.572,0.2,0.36,0.714
0.5,1,0.604,0.208,0.32,0.67
0.5,2,0.566,0.35,0.43,0.458
0.5,3,0.578,0.48,0.42,0.21
0.5,4,0.58,0.532,0.39,0.076
0.5,5,0.526,0.566,0.39,0.042
0.5,6,0.528,0.58,0.39,0.022
0.5,7,0.514,0.578,0.42,0.0
0.5,8,0.456,0.576,0.47,0.008
0.5,9,0.4,0.572,0.63,0.004
0.8,0,0.544,0.346,0.32,0.466
0.8,1,0.598,0.384,0.29,0.38
0.8,2,0.576,0.454,0.38,0.292
0.8,3,0.578,0.474,0.38,0.246
0.8,4,0.574,0.508,0.35,0.178
0.8,5,0.548,0.49,0.39,0.152
0.8,6,0.54,0.54,0.44,0.106
0.8,7,0.508,0.56,0.45,0.088
0.8,8,0.47,0.568,0.44,0.068
0.8,9,0.4,0.592,0.5,0.06
1.0,0,0.56,0.46,0.36,0.19
1.0,1,0.594,0.478,0.28,0.196
1.0,2,0.564,0.48,0.41,0.222
1.0,3,0.572,0.486,0.4,0.222
1.0,4,0.576,0.48,0.36,0.188
1.0,5,0.54,0.484,0.46,0.202
1.0,6,0.538,0.492,0.41,0.21
1.0,7,0.482,0.488,0.47,0.19
1.0,8,0.47,0.526,0.43,0.172
1.0,9,0.396,0.49,0.57,0.19
