gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.5,0,0.428,0.448,0.45,0.454
0.5,1,0.53,0.538,0.32,0.32
0.5,2,0.464,0.552,0.34,0.282
0.5,3,0.436,0.57,0.38,0.24
0.5,4,0.424,0.608,0.35,0.154
0.5,5,0.384,0.598,0.4,0.072
0.5,6,0.386,0.62,0.36,0.026
0.5,7,0.338,0.624,0.35,0.014
0.5,8,0.306,0.616,0.36,0.018
0.5,9,0.134,0.626,0.46,0.01
0.8,0,0.412,0.53,0.46,0.332
0.8,1,0.502,0.524,0.29,0.296
0.8,2,0.444,0.562,0.42,0.234
0.8,3,0.422,0.582,0.38,0.21
0.8,4,0.404,0.586,0.38,0.146
0.8,5,0.368,0.584,0.38,0.12
0.8,6,0.376,0.604,0.42,0.096
0.8,7,0.358,0.596,0.38,0.062
0.8,8,0.296,0.634,0.4,0.046
0.8,9,0.128,0.628,0.54,0.052
1.0,0,0.428,0.582,0.44,0.178
1.0,1,0.504,0.576,0.29,0.174
1.0,2,0.454,0.576,0.37,0.154
1.0,3,0.42,0.586,0.38,0.156
1.0,4,0.412,0.604,0.35,0.138
1.0,5,0.352,0.572,0.46,0.146
1.0,6,0.396,0.588,0.43,0.144
1.0,7,0.352,0.594,0.38,0.154
1.0,8,0.282,0.578,0.39,0.158
1.0,9,0.112,0.588,0.49,0.148
