gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.5,0,0.648,0.654,0,0
0.5,1,0.648,0.648,0,0
0.5,2,0.636,0.654,0,0
0.5,3,0.65,0.66,0,0
0.5,4,0.644,0.654,0,0
0.5,5,0.64,0.654,0,0
0.5,6,0.644,0.658,0,0
0.5,7,0.652,0.65,0,0
0.5,8,0.65,0.65,0,0
0.5,9,0.652,0.66,0,0
0.8,0,0.654,0.654,0,0
0.8,1,0.654,0.668,0,0
0.8,2,0.644,0.654,0,0
0.8,3,0.632,0.656,0,0
0.8,4,0.644,0.66,0,0
0.8,5,0.656,0.656,0,0
0.8,6,0.654,0.658,0,0
0.8,7,0.654,0.666,0,0
0.8,8,0.656,0.658,0,0
0.8,9,0.654,0.67,0,0
1.0,0,0.64,0.66,0,0
1.0,1,0.642,0.654,0,0
1.0,2,0.656,0.658,0,0
1.0,3,0.656,0.644,0,0
1.0,4,0.652,0.66,0,0
1.0,5,0.648,0.648,0,0
1.0,6,0.66,0.654,0,0
1.0,7,0.652,0.654,0,0
1.0,8,0.662,0.646,0,0
1.0,9,0.646,0.654,0,0
