gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.5,0,0.4,0.396,0.48,0.418
0.5,1,0.516,0.44,0.31,0.294
0.5,2,0.474,0.478,0.34,0.242
0.5,3,0.426,0.494,0.37,0.15
0.5,4,0.428,0.504,0.32,0.066
0.5,5,0.368,0.526,0.39,0.048
0.5,6,0.39,0.534,0.37,0.032
0.5,7,0.35,0.53,0.33,0.018
0.5,8,0.312,0.546,0.36,0.006
0.5,9,0.136,0.57,0.46,0.002
0.8,0,0.428,0.474,0.46,0.252
0.8,1,0.52,0.482,0.3,0.216
0.8,2,0.46,0.52,0.32,0.184
0.8,3,0.434,0.536,0.34,0.106
0.8,4,0.424,0.518,0.34,0.13
0.8,5,0.362,0.528,0.41,0.096
0.8,6,0.384,0.566,0.36,0.09
0.8,7,0.344,0.54,0.4,0.062
0.8,8,0.32,0.53,0.38,0.072
0.8,9,0.146,0.552,0.51,0.05
1.0,0,0.402,0.536,0.49,0.122
1.0,1,0.522,0.546,0.32,0.116
1.0,2,0.456,0.504,0.32,0.134
1.0,3,0.426,0.504,0.36,0.136
1.0,4,0.408,0.54,0.37,0.142
1.0,5,0.366,0.518,0.38,0.136
1.0,6,0.386,0.512,0.38,0.132
1.0,7,0.362,0.528,0.4,0.138
1.0,8,0.294,0.526,0.39,0.114
1.0,9,0.158,0.53,0.46,0.132
