gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.5,0,0.596,0.198,0.36,0.604
0.5,1,0.594,0.244,0.28,0.57
0.5,2,0.586,0.348,0.38,0.456
0.5,3,0.546,0.42,0.39,0.27
0.5,4,0.594,0.492,0.38,0.126
0.5,5,0.496,0.504,0.4,0.06
0.5,6,0.534,0.53,0.37,0.038
0.5,7,0.508,0.542,0.41,0.022
0.5,8,0.44,0.556,0.47,0.02
0.5,9,0.392,0.504,0.55,0.002
0.8,0,0.556,0.322,0.31,0.45
0.8,1,0.624,0.356,0.27,0.382
0.8,2,0.562,0.424,0.42,0.312
0.8,3,0.566,0.43,0.39,0.264
0.8,4,0.582,0.436,0.37,0.226
0.8,5,0.55,0.43,0.38,0.174
0.8,6,0.572,0.458,0.37,0.148
0.8,7,0.506,0.502,0.34,0.104
0.8,8,0.468,0.5,0.45,0.094
0.8,9,0.402,0.538,0.52,0.078
1.0,0,0.562,0.466,0.33,0.208
1.0,1,0.598,0.458,0.28,0.23
1.0,2,0.58,0.468,0.39,0.236
1.0,3,0.554,0.454,0.39,0.224
1.0,4,0.574,0.45,0.43,0.22
1.0,5,0.536,0.474,0.43,0.23
1.0,6,0.562,0.474,0.49,0.25
1.0,7,0.508,0.48,0.44,0.21
1.0,8,0.476,0.45,0.42,0.236
1.0,9,0.408,0.442,0.54,0.23
