gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.5,0,0.65,0.548,0,0
0.5,1,0.65,0.55,0,0
0.5,2,0.642,0.57,0,0
0.5,3,0.64,0.55,0,0
0.5,4,0.644,0.542,0,0
0.5,5,0.642,0.556,0,0
0.5,6,0.652,0.546,0,0
0.5,7,0.64,0.528,0,0
0.5,8,0.652,0.536,0,0
0.5,9,0.662,0.558,0,0
0.8,0,0.652,0.56,0,0
0.8,1,0.658,0.572,0,0
0.8,2,0.654,0.574,0,0
0.8,3,0.646,0.548,0,0
0.8,4,0.666,0.576,0,0
0.8,5,0.66,0.556,0,0
0.8,6,0.64,0.542,0,0
0.8,7,0.646,0.53,0,0
0.8,8,0.67,0.574,0,0
0.8,9,0.65,0.554,0,0
1.0,0,0.634,0.524,0,0
1.0,1,0.654,0.544,0,0
1.0,2,0.652,0.566,0,0
1.0,3,0.64,0.562,0,0
1.0,4,0.67,0.568,0,0
1.0,5,0.644,0.556,0,0
1.0,6,0.654,0.552,0,0
1.0,7,0.646,0.548,0,0
1.0,8,0.64,0.582,0,0
1.0,9,0.652,0.578,0,0
