gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.8,0,0.486,0.492,0.39,0.296
0.8,1,0.562,0.48,0.26,0.228
0.8,2,0.5,0.516,0.29,0.202
0.8,3,0.472,0.542,0.34,0.182
0.8,4,0.426,0.534,0.32,0.14
0.8,5,0.432,0.538,0.38,0.116
0.8,6,0.408,0.534,0.35,0.098
0.8,7,0.394,0.562,0.36,0.076
0.8,8,0.322,0.552,0.45,0.092
0.8,9,0.184,0.554,0.56,0.064
1.0,0,0.458,0.512,0.42,0.142
1.0,1,0.534,0.518,0.28,0.158
1.0,2,0.53,0.514,0.32,0.168
1.0,3,0.494,0.528,0.32,0.154
1.0,4,0.426,0.52,0.31,0.156
1.0,5,0.42,0.528,0.33,0.15
1.0,6,0.432,0.518,0.33,0.152
1.0,7,0.374,0.54,0.34,0.156
1.0,8,0.348,0.532,0.43,0.152
1.0,9,0.168,0.552,0.55,0.116
