gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.8,0,0.58,0.306,0.39,0.478
0.8,1,0.594,0.316,0.33,0.468
0.8,2,0.562,0.326,0.41,0.418
0.8,3,0.57,0.356,0.37,0.356
0.8,4,0.558,0.416,0.35,0.306
0.8,5,0.53,0.44,0.4,0.266
0.8,6,0.55,0.454,0.38,0.224
0.8,7,0.5,0.46,0.45,0.206
0.8,8,0.446,0.462,0.47,0.152
0.8,9,0.402,0.5,0.59,0.15
1.0,0,0.552,0.398,0.36,0.288
1.0,1,0.598,0.41,0.31,0.308
1.0,2,0.582,0.408,0.38,0.312
1.0,3,0.56,0.412,0.41,0.332
1.0,4,0.568,0.398,0.37,0.296
1.0,5,0.508,0.378,0.45,0.29
1.0,6,0.532,0.406,0.45,0.29
1.0,7,0.506,0.374,0.37,0.308
1.0,8,0.476,0.41,0.46,0.284
1.0,9,0.404,0.43,0.54,0.278
