gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.8,0,0.664,0.592,0,0
0.8,1,0.65,0.57,0,0
0.8,2,0.662,0.578,0,0
0.8,3,0.652,0.574,0,0
0.8,4,0.638,0.592,0,0
0.8,5,0.63,0.582,0,0
0.8,6,0.628,0.592,0,0
0.8,7,0.648,0.586,0,0
0.8,8,0.66,0.562,0,0
0.8,9,0.662,0.596,0,0
1.0,0,0.634,0.56,0,0
1.0,1,0.648,0.586,0,0
1.0,2,0.652,0.578,0,0
1.0,3,0.656,0.56,0,0
1.0,4,0.634,0.554,0,0
1.0,5,0.632,0.558,0,0
1.0,6,0.654,0.574,0,0
1.0,7,0.644,0.562,0,0
1.0,8,0.656,0.572,0,0
1.0,9,0.646,0.572,0,0
