gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.8,0,0.546,0.458,0.3,0.168
0.8,1,0.578,0.53,0.25,0.098
0.8,2,0.548,0.568,0.33,0.096
0.8,3,0.516,0.554,0.35,0.082
0.8,4,0.52,0.572,0.31,0.06
0.8,5,0.45,0.57,0.35,0.046
0.8,6,0.456,0.57,0.4,0.04
0.8,7,0.416,0.57,0.38,0.03
0.8,8,0.36,0.58,0.43,0.026
0.8,9,0.134,0.592,0.72,0.022
1.0,0,0.544,0.518,0.38,0.054
1.0,1,0.59,0.53,0.23,0.064
1.0,2,0.56,0.498,0.3,0.054
1.0,3,0.518,0.522,0.29,0.038
1.0,4,0.516,0.542,0.33,0.05
1.0,5,0.472,0.54,0.34,0.058
1.0,6,0.416,0.544,0.35,0.056
1.0,7,0.408,0.554,0.38,0.05
1.0,8,0.354,0.53,0.37,0.062
1.0,9,0.092,0.534,0.71,0.068
