gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.8,0,0.6,0.466,0.43,0.224
0.8,1,0.594,0.546,0.41,0.092
0.8,2,0.538,0.57,0.45,0.114
0.8,3,0.544,0.554,0.51,0.07
0.8,4,0.496,0.554,0.6,0.064
0.8,5,0.468,0.564,0.57,0.046
0.8,6,0.456,0.576,0.63,0.036
0.8,7,0.434,0.566,0.6,0.038
0.8,8,0.38,0.588,0.62,0.038
0.8,9,0.166,0.578,0.77,0.022
1.0,0,0.582,0.536,0.41,0.048
1.0,1,0.61,0.526,0.4,0.058
1.0,2,0.544,0.562,0.48,0.05
1.0,3,0.538,0.536,0.5,0.044
1.0,4,0.514,0.528,0.53,0.046
1.0,5,0.462,0.546,0.57,0.056
1.0,6,0.454,0.524,0.57,0.046
1.0,7,0.418,0.554,0.64,0.046
1.0,8,0.37,0.544,0.59,0.054
1.0,9,0.176,0.552,0.81,0.058
