gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr,undefended_input_tokens,undefended_output_tokens,defended_input_tokens,defended_output_tokens,undefended_total_time_sec,defended_total_time_sec
1,0,0.0,0.62,0.0,0.63,0.0,0.0,149103.4,63868.2,0.0,583.54
1,1,0.0,0.704,0.0,0.658,0.0,0.0,148806.4,65751.0,0.0,579.2
1,2,0.0,0.734,0.0,0.622,0.0,0.0,148167.8,66361.6,0.0,583.0
1,3,0.0,0.706,0.0,0.616,0.0,0.0,147945.6,66601.6,0.0,601.46
1,4,0.0,0.722,0.0,0.648,0.0,0.0,149398.0,67454.8,0.0,912.28
1,5,0.0,0.708,0.0,0.628,0.0,0.0,147865.8,65732.0,0.0,921.71
1,6,0.0,0.72,0.0,0.608,0.0,0.0,149902.0,68169.2,0.0,905.41
1,7,0.0,0.706,0.0,0.606,0.0,0.0,149307.2,67454.2,0.0,922.47
1,8,0.0,0.708,0.0,0.606,0.0,0.0,149367.0,66136.6,0.0,964.89
1,9,0.0,0.736,0.0,0.568,0.0,0.0,148625.8,68472.4,0.0,912.93
