gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr,undefended_input_tokens,undefended_output_tokens,defended_input_tokens,defended_output_tokens,undefended_total_time_sec,defended_total_time_sec
1,0,0.0,0.746,0.0,0.0,0.0,0.0,116639.4,64058.2,0.0,584.38
1,1,0.0,0.722,0.0,0.0,0.0,0.0,116715.8,64694.6,0.0,576.12
1,2,0.0,0.724,0.0,0.0,0.0,0.0,118020.6,65612.0,0.0,577.22
1,3,0.0,0.718,0.0,0.0,0.0,0.0,117028.0,65184.4,0.0,589.75
1,4,0.0,0.742,0.0,0.0,0.0,0.0,117057.8,65378.0,0.0,882.12
1,5,0.0,0.742,0.0,0.0,0.0,0.0,117155.2,65853.4,0.0,914.12
1,6,0.0,0.732,0.0,0.0,0.0,0.0,116454.2,64254.4,0.0,888.76
1,7,0.0,0.736,0.0,0.0,0.0,0.0,116859.6,64418.0,0.0,901.83
1,8,0.0,0.722,0.0,0.0,0.0,0.0,116677.4,65241.4,0.0,935.36
1,9,0.0,0.722,0.0,0.0,0.0,0.0,116674.0,65347.2,0.0,895.37
