gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr,undefended_input_tokens,undefended_output_tokens,defended_input_tokens,defended_output_tokens,undefended_total_time_sec,defended_total_time_sec
1,0,0.0,0.572,0.0,0.278,0.0,0.0,151668.0,15449.6,0.0,289.19
1,1,0.0,0.6,0.0,0.266,0.0,0.0,151676.0,16097.6,0.0,323.41
1,2,0.0,0.588,0.0,0.274,0.0,0.0,151541.0,15887.4,0.0,306.48
1,3,0.0,0.572,0.0,0.3,0.0,0.0,151676.0,15576.8,0.0,309.75
1,4,0.0,0.604,0.0,0.294,0.0,0.0,151709.0,16024.2,0.0,307.11
1,5,0.0,0.562,0.0,0.308,0.0,0.0,151714.0,15605.0,0.0,290.95
1,6,0.0,0.57,0.0,0.296,0.0,0.0,151623.0,15507.0,0.0,291.54
1,7,0.0,0.558,0.0,0.332,0.0,0.0,151540.0,15065.0,0.0,304.79
1,8,0.0,0.552,0.0,0.314,0.0,0.0,151577.0,15445.2,0.0,281.46
1,9,0.0,0.506,0.0,0.342,0.0,0.0,151439.0,14957.4,0.0,286.51
