gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr,undefended_input_tokens,undefended_output_tokens,defended_input_tokens,defended_output_tokens,undefended_total_time_sec,defended_total_time_sec
1,0,0.0,0.708,0.0,0.368,0.0,0.0,184770.0,17448.8,0.0,188.63
1,1,0.0,0.712,0.0,0.404,0.0,0.0,184778.0,16846.0,0.0,175.48
1,2,0.0,0.726,0.0,0.408,0.0,0.0,184643.0,17300.0,0.0,168.13
1,3,0.0,0.714,0.0,0.452,0.0,0.0,184778.0,17278.8,0.0,165.75
1,4,0.0,0.742,0.0,0.476,0.0,0.0,184811.0,17225.2,0.0,173.16
1,5,0.0,0.716,0.0,0.498,0.0,0.0,184816.0,16831.2,0.0,164.03
1,6,0.0,0.72,0.0,0.56,0.0,0.0,184725.0,16395.8,0.0,163.27
1,7,0.0,0.72,0.0,0.542,0.0,0.0,184642.0,16455.4,0.0,161.53
1,8,0.0,0.7,0.0,0.582,0.0,0.0,184679.0,16009.2,0.0,153.0
1,9,0.0,0.726,0.0,0.61,0.0,0.0,184541.0,15745.0,0.0,158.5
