gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr,undefended_input_tokens,undefended_output_tokens,defended_input_tokens,defended_output_tokens,undefended_total_time_sec,defended_total_time_sec
0.5,0,0.0,0.28,0.0,0.752,0.0,0.0,573320.0,8514.2,0.0,800.44
0.5,1,0.0,0.548,0.0,0.17,0.0,0.0,573187.4,8216.6,0.0,752.09
0.5,2,0.0,0.556,0.0,0.12,0.0,0.0,573046.0,8097.8,0.0,769.19
0.5,3,0.0,0.554,0.0,0.104,0.0,0.0,573247.6,8175.6,0.0,711.62
0.5,4,0.0,0.564,0.0,0.092,0.0,0.0,573265.6,8285.6,0.0,744.61
0.5,5,0.0,0.57,0.0,0.068,0.0,0.0,573144.2,8194.0,0.0,726.13
0.5,6,0.0,0.586,0.0,0.074,0.0,0.0,573201.4,8330.4,0.0,786.86
0.5,7,0.0,0.586,0.0,0.054,0.0,0.0,573103.2,8370.0,0.0,748.11
0.5,8,0.0,0.58,0.0,0.05,0.0,0.0,573172.0,8252.8,0.0,680.01
0.5,9,0.0,0.586,0.0,0.054,0.0,0.0,573092.2,8257.2,0.0,696.95
0.8,0,0.0,0.504,0.0,0.246,0.0,0.0,573052.2,8435.2,0.0,600.96
0.8,1,0.0,0.562,0.0,0.17,0.0,0.0,573070.4,8205.2,0.0,644.96
0.8,2,0.0,0.568,0.0,0.13,0.0,0.0,572938.8,8295.0,0.0,607.5
0.8,3,0.0,0.558,0.0,0.112,0.0,0.0,573063.4,8290.8,0.0,633.31
0.8,4,0.0,0.586,0.0,0.074,0.0,0.0,573067.4,8250.6,0.0,665.78
0.8,5,0.0,0.578,0.0,0.08,0.0,0.0,573086.0,8100.4,0.0,671.27
0.8,6,0.0,0.576,0.0,0.06,0.0,0.0,573039.6,8308.2,0.0,682.27
0.8,7,0.0,0.594,0.0,0.05,0.0,0.0,572948.4,8198.6,0.0,672.42
0.8,8,0.0,0.606,0.0,0.066,0.0,0.0,573007.0,8365.8,0.0,690.68
0.8,9,0.0,0.584,0.0,0.044,0.0,0.0,572947.0,8333.2,0.0,662.43
1.0,0,0.0,0.554,0.0,0.104,0.0,0.0,573075.6,8317.0,0.0,662.25
1.0,1,0.0,0.558,0.0,0.098,0.0,0.0,573097.8,8523.8,0.0,641.48
1.0,2,0.0,0.572,0.0,0.096,0.0,0.0,572976.4,8441.8,0.0,708.25
1.0,3,0.0,0.582,0.0,0.088,0.0,0.0,572992.8,8314.6,0.0,656.53
1.0,4,0.0,0.572,0.0,0.078,0.0,0.0,573033.4,8324.8,0.0,795.61
1.0,5,0.0,0.564,0.0,0.088,0.0,0.0,573046.4,8290.4,0.0,640.41
1.0,6,0.0,0.558,0.0,0.094,0.0,0.0,573048.2,8360.6,0.0,624.63
1.0,7,0.0,0.578,0.0,0.092,0.0,0.0,572874.0,8463.4,0.0,592.07
1.0,8,0.0,0.566,0.0,0.08,0.0,0.0,572894.8,8315.4,0.0,596.6
1.0,9,0.0,0.578,0.0,0.094,0.0,0.0,572869.2,8462.2,0.0,608.84
