gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr,undefended_input_tokens,undefended_output_tokens,defended_input_tokens,defended_output_tokens,undefended_total_time_sec,defended_total_time_sec
0.5,0,0.0,0.256,0.0,0.734,0.0,0.0,572728.4,8497.0,0.0,807.66
0.5,1,0.0,0.514,0.0,0.166,0.0,0.0,572711.4,8334.2,0.0,746.6
0.5,2,0.0,0.544,0.0,0.108,0.0,0.0,572599.0,8379.0,0.0,776.63
0.5,3,0.0,0.54,0.0,0.09,0.0,0.0,572725.6,8432.0,0.0,702.99
0.5,4,0.0,0.554,0.0,0.07,0.0,0.0,572723.0,8303.8,0.0,744.57
0.5,5,0.0,0.564,0.0,0.06,0.0,0.0,572695.2,8271.8,0.0,726.58
0.5,6,0.0,0.578,0.0,0.06,0.0,0.0,572716.2,8213.0,0.0,894.79
0.5,7,0.0,0.578,0.0,0.038,0.0,0.0,572595.8,8261.0,0.0,735.24
0.5,8,0.0,0.57,0.0,0.042,0.0,0.0,572529.8,8141.0,0.0,676.85
0.5,9,0.0,0.588,0.0,0.028,0.0,0.0,572629.0,8212.8,0.0,677.11
0.8,0,0.0,0.488,0.0,0.216,0.0,0.0,572492.0,8619.4,0.0,604.41
0.8,1,0.0,0.548,0.0,0.142,0.0,0.0,572739.4,8214.4,0.0,636.75
0.8,2,0.0,0.552,0.0,0.112,0.0,0.0,572478.0,8564.6,0.0,608.12
0.8,3,0.0,0.57,0.0,0.086,0.0,0.0,572516.4,8193.4,0.0,649.07
0.8,4,0.0,0.564,0.0,0.09,0.0,0.0,572509.2,8124.8,0.0,672.28
0.8,5,0.0,0.564,0.0,0.05,0.0,0.0,572427.4,8251.4,0.0,686.94
0.8,6,0.0,0.576,0.0,0.058,0.0,0.0,572485.2,8137.8,0.0,661.85
0.8,7,0.0,0.572,0.0,0.044,0.0,0.0,572469.2,8330.0,0.0,671.41
0.8,8,0.0,0.592,0.0,0.048,0.0,0.0,572511.8,8496.4,0.0,685.91
0.8,9,0.0,0.568,0.0,0.022,0.0,0.0,572458.4,8247.0,0.0,666.38
1.0,0,0.0,0.552,0.0,0.096,0.0,0.0,572493.8,8402.4,0.0,669.64
1.0,1,0.0,0.558,0.0,0.1,0.0,0.0,572487.2,8384.2,0.0,671.12
1.0,2,0.0,0.564,0.0,0.078,0.0,0.0,572494.6,8370.4,0.0,689.38
1.0,3,0.0,0.554,0.0,0.068,0.0,0.0,572457.4,8288.0,0.0,661.34
1.0,4,0.0,0.586,0.0,0.06,0.0,0.0,572426.8,8231.8,0.0,793.81
1.0,5,0.0,0.552,0.0,0.06,0.0,0.0,572372.2,8201.6,0.0,640.12
1.0,6,0.0,0.536,0.0,0.074,0.0,0.0,572574.4,8338.4,0.0,634.35
1.0,7,0.0,0.574,0.0,0.068,0.0,0.0,572335.4,8425.6,0.0,589.23
1.0,8,0.0,0.564,0.0,0.07,0.0,0.0,572365.8,8151.4,0.0,609.9
1.0,9,0.0,0.58,0.0,0.074,0.0,0.0,572329.2,8422.4,0.0,593.78
