gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr,undefended_input_tokens,undefended_output_tokens,defended_input_tokens,defended_output_tokens,undefended_total_time_sec,defended_total_time_sec
0.5,0,0.0,0.574,0.0,0.0,0.0,0.0,572735.8,8277.8,0.0,801.18
0.5,1,0.0,0.584,0.0,0.0,0.0,0.0,572739.8,8409.4,0.0,748.96
0.5,2,0.0,0.57,0.0,0.0,0.0,0.0,572820.8,8092.2,0.0,765.5
0.5,3,0.0,0.594,0.0,0.0,0.0,0.0,572786.6,8029.8,0.0,706.99
0.5,4,0.0,0.562,0.0,0.0,0.0,0.0,572809.6,8144.6,0.0,746.67
0.5,5,0.0,0.574,0.0,0.0,0.0,0.0,572708.6,8151.2,0.0,718.29
0.5,6,0.0,0.574,0.0,0.0,0.0,0.0,572651.2,8249.4,0.0,803.51
0.5,7,0.0,0.574,0.0,0.0,0.0,0.0,572805.8,8375.6,0.0,747.07
0.5,8,0.0,0.578,0.0,0.0,0.0,0.0,572751.2,8148.2,0.0,693.11
0.5,9,0.0,0.578,0.0,0.0,0.0,0.0,572761.0,8105.0,0.0,691.26
0.8,0,0.0,0.61,0.0,0.0,0.0,0.0,572658.2,8311.0,0.0,599.43
0.8,1,0.0,0.604,0.0,0.0,0.0,0.0,572657.0,8263.6,0.0,629.0
0.8,2,0.0,0.586,0.0,0.0,0.0,0.0,572684.0,8276.8,0.0,606.71
0.8,3,0.0,0.598,0.0,0.0,0.0,0.0,572644.6,8423.8,0.0,626.5
0.8,4,0.0,0.606,0.0,0.0,0.0,0.0,572592.6,8337.8,0.0,667.39
0.8,5,0.0,0.608,0.0,0.0,0.0,0.0,572599.6,8259.8,0.0,685.8
0.8,6,0.0,0.6,0.0,0.0,0.0,0.0,572592.8,8341.0,0.0,682.39
0.8,7,0.0,0.604,0.0,0.0,0.0,0.0,572536.4,8097.8,0.0,669.44
0.8,8,0.0,0.578,0.0,0.0,0.0,0.0,572668.6,8293.0,0.0,686.99
0.8,9,0.0,0.596,0.0,0.0,0.0,0.0,572681.4,8466.6,0.0,679.71
1.0,0,0.0,0.582,0.0,0.0,0.0,0.0,572804.2,8172.2,0.0,659.74
1.0,1,0.0,0.578,0.0,0.0,0.0,0.0,572657.6,8315.4,0.0,637.24
1.0,2,0.0,0.586,0.0,0.0,0.0,0.0,572731.0,8337.0,0.0,706.79
1.0,3,0.0,0.59,0.0,0.0,0.0,0.0,572656.6,8403.0,0.0,655.83
1.0,4,0.0,0.606,0.0,0.0,0.0,0.0,572659.4,8344.4,0.0,800.02
1.0,5,0.0,0.564,0.0,0.0,0.0,0.0,572714.6,8176.2,0.0,644.1
1.0,6,0.0,0.59,0.0,0.0,0.0,0.0,572677.0,8315.4,0.0,620.12
1.0,7,0.0,0.578,0.0,0.0,0.0,0.0,572691.4,8251.2,0.0,615.46
1.0,8,0.0,0.582,0.0,0.0,0.0,0.0,572589.8,8311.4,0.0,594.85
1.0,9,0.0,0.58,0.0,0.0,0.0,0.0,572528.8,8276.0,0.0,613.69
