gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr,undefended_input_tokens,undefended_output_tokens,defended_input_tokens,defended_output_tokens,undefended_total_time_sec,defended_total_time_sec
0.5,0,0.0,0.394,0.0,0.494,0.0,0.0,89921.2,1939.4,0.0,208.48
0.5,1,0.0,0.482,0.0,0.372,0.0,0.0,90022.0,2225.2,0.0,217.42
0.5,2,0.0,0.546,0.0,0.274,0.0,0.0,89583.4,2578.6,0.0,228.56
0.5,3,0.0,0.572,0.0,0.242,0.0,0.0,90092.2,3008.4,0.0,227.38
0.5,4,0.0,0.604,0.0,0.154,0.0,0.0,90456.2,3284.8,0.0,221.6
0.5,5,0.0,0.606,0.0,0.068,0.0,0.0,90684.4,3064.2,0.0,214.17
0.5,6,0.0,0.63,0.0,0.028,0.0,0.0,90773.0,2954.8,0.0,213.6
0.5,7,0.0,0.638,0.0,0.034,0.0,0.0,90858.8,2801.6,0.0,211.71
0.5,8,0.0,0.65,0.0,0.006,0.0,0.0,90954.0,2650.8,0.0,239.29
0.5,9,0.0,0.646,0.0,0.006,0.0,0.0,90885.0,2816.0,0.0,219.24
0.8,0,0.0,0.494,0.0,0.348,0.0,0.0,90262.8,2519.6,0.0,207.4
0.8,1,0.0,0.538,0.0,0.268,0.0,0.0,90398.8,2616.4,0.0,195.62
0.8,2,0.0,0.57,0.0,0.252,0.0,0.0,90160.8,2673.0,0.0,194.18
0.8,3,0.0,0.6,0.0,0.186,0.0,0.0,90485.8,2839.8,0.0,207.56
0.8,4,0.0,0.624,0.0,0.14,0.0,0.0,90603.4,2568.0,0.0,195.42
0.8,5,0.0,0.584,0.0,0.116,0.0,0.0,90693.4,2754.8,0.0,229.68
0.8,6,0.0,0.616,0.0,0.088,0.0,0.0,90688.8,2773.6,0.0,196.27
0.8,7,0.0,0.628,0.0,0.07,0.0,0.0,90679.8,2787.0,0.0,220.24
0.8,8,0.0,0.622,0.0,0.056,0.0,0.0,90747.8,2743.0,0.0,200.65
0.8,9,0.0,0.628,0.0,0.052,0.0,0.0,90868.2,2615.0,0.0,202.17
1.0,0,0.0,0.588,0.0,0.158,0.0,0.0,90711.6,2815.0,0.0,207.57
1.0,1,0.0,0.594,0.0,0.152,0.0,0.0,90882.4,2513.8,0.0,270.19
1.0,2,0.0,0.594,0.0,0.156,0.0,0.0,90696.8,2805.4,0.0,200.51
1.0,3,0.0,0.574,0.0,0.156,0.0,0.0,90886.8,2780.6,0.0,215.05
1.0,4,0.0,0.608,0.0,0.174,0.0,0.0,90819.8,2671.8,0.0,212.31
1.0,5,0.0,0.584,0.0,0.166,0.0,0.0,90797.4,2781.2,0.0,215.57
1.0,6,0.0,0.59,0.0,0.172,0.0,0.0,90752.4,2772.0,0.0,203.74
1.0,7,0.0,0.596,0.0,0.164,0.0,0.0,90636.2,2880.4,0.0,209.23
1.0,8,0.0,0.588,0.0,0.144,0.0,0.0,90655.4,2575.8,0.0,211.88
1.0,9,0.0,0.586,0.0,0.172,0.0,0.0,90587.2,2734.0,0.0,202.15
