gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr,undefended_input_tokens,undefended_output_tokens,defended_input_tokens,defended_output_tokens,undefended_total_time_sec,defended_total_time_sec
0.5,0,0.0,0.356,0.0,0.524,0.0,0.0,89403.8,1857.4,0.0,211.82
0.5,1,0.0,0.348,0.0,0.524,0.0,0.0,89482.2,1922.6,0.0,221.31
0.5,2,0.0,0.384,0.0,0.476,0.0,0.0,89214.2,1985.8,0.0,215.38
0.5,3,0.0,0.412,0.0,0.43,0.0,0.0,89764.6,2202.6,0.0,221.38
0.5,4,0.0,0.514,0.0,0.258,0.0,0.0,90177.8,2402.6,0.0,214.19
0.5,5,0.0,0.556,0.0,0.118,0.0,0.0,90556.2,2491.6,0.0,208.75
0.5,6,0.0,0.62,0.0,0.058,0.0,0.0,90737.8,2377.2,0.0,206.47
0.5,7,0.0,0.614,0.0,0.034,0.0,0.0,90801.6,2666.8,0.0,210.43
0.5,8,0.0,0.624,0.0,0.014,0.0,0.0,90869.0,2557.8,0.0,221.71
0.5,9,0.0,0.622,0.0,0.006,0.0,0.0,90928.8,2584.6,0.0,220.57
0.8,0,0.0,0.402,0.0,0.466,0.0,0.0,89878.6,2070.8,0.0,203.62
0.8,1,0.0,0.442,0.0,0.416,0.0,0.0,89989.8,2086.6,0.0,192.57
0.8,2,0.0,0.458,0.0,0.392,0.0,0.0,89900.4,2136.8,0.0,188.45
0.8,3,0.0,0.474,0.0,0.324,0.0,0.0,90281.0,2214.6,0.0,201.16
0.8,4,0.0,0.508,0.0,0.264,0.0,0.0,90364.2,2309.2,0.0,192.32
0.8,5,0.0,0.52,0.0,0.196,0.0,0.0,90423.0,2281.4,0.0,224.16
0.8,6,0.0,0.57,0.0,0.154,0.0,0.0,90418.6,2458.4,0.0,196.26
0.8,7,0.0,0.592,0.0,0.128,0.0,0.0,90596.0,2511.4,0.0,221.84
0.8,8,0.0,0.612,0.0,0.09,0.0,0.0,90610.0,2340.4,0.0,195.46
0.8,9,0.0,0.598,0.0,0.088,0.0,0.0,90691.6,2446.0,0.0,211.35
1.0,0,0.0,0.504,0.0,0.234,0.0,0.0,90519.4,2298.6,0.0,193.27
1.0,1,0.0,0.522,0.0,0.276,0.0,0.0,90666.2,2368.0,0.0,205.91
1.0,2,0.0,0.526,0.0,0.25,0.0,0.0,90249.0,2398.4,0.0,270.12
1.0,3,0.0,0.53,0.0,0.242,0.0,0.0,90435.2,2210.4,0.0,201.51
1.0,4,0.0,0.502,0.0,0.246,0.0,0.0,90532.0,2316.0,0.0,200.42
1.0,5,0.0,0.526,0.0,0.206,0.0,0.0,90671.4,2356.0,0.0,214.05
1.0,6,0.0,0.502,0.0,0.276,0.0,0.0,90390.0,2194.6,0.0,208.57
1.0,7,0.0,0.502,0.0,0.262,0.0,0.0,90376.6,2348.4,0.0,195.37
1.0,8,0.0,0.522,0.0,0.242,0.0,0.0,90369.8,2297.0,0.0,199.29
1.0,9,0.0,0.506,0.0,0.288,0.0,0.0,90348.2,2297.6,0.0,204.56
