gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr,undefended_input_tokens,undefended_output_tokens,defended_input_tokens,defended_output_tokens,undefended_total_time_sec,defended_total_time_sec
0.5,0,0.0,0.632,0.0,0.0,0.0,0.0,90980.2,2568.0,0.0,221.45
0.5,1,0.0,0.636,0.0,0.0,0.0,0.0,90984.6,2652.8,0.0,229.78
0.5,2,0.0,0.638,0.0,0.0,0.0,0.0,90947.6,2596.0,0.0,233.0
0.5,3,0.0,0.628,0.0,0.0,0.0,0.0,90979.4,2477.8,0.0,220.3
0.5,4,0.0,0.624,0.0,0.0,0.0,0.0,90971.2,2634.8,0.0,219.89
0.5,5,0.0,0.636,0.0,0.0,0.0,0.0,90980.4,2657.4,0.0,211.32
0.5,6,0.0,0.628,0.0,0.0,0.0,0.0,91041.6,2699.6,0.0,209.64
0.5,7,0.0,0.626,0.0,0.0,0.0,0.0,90964.6,2537.6,0.0,210.78
0.5,8,0.0,0.636,0.0,0.0,0.0,0.0,90921.2,2669.8,0.0,226.61
0.5,9,0.0,0.63,0.0,0.0,0.0,0.0,90977.2,2591.4,0.0,217.48
0.8,0,0.0,0.666,0.0,0.0,0.0,0.0,91121.6,2488.0,0.0,213.14
0.8,1,0.0,0.654,0.0,0.0,0.0,0.0,91093.0,2588.8,0.0,199.03
0.8,2,0.0,0.644,0.0,0.0,0.0,0.0,91098.0,2633.4,0.0,198.73
0.8,3,0.0,0.64,0.0,0.0,0.0,0.0,91155.2,2518.4,0.0,200.85
0.8,4,0.0,0.652,0.0,0.0,0.0,0.0,91102.4,2683.8,0.0,202.56
0.8,5,0.0,0.624,0.0,0.0,0.0,0.0,91149.2,2638.2,0.0,229.44
0.8,6,0.0,0.662,0.0,0.0,0.0,0.0,91149.8,2484.8,0.0,197.08
0.8,7,0.0,0.644,0.0,0.0,0.0,0.0,91158.2,2516.4,0.0,212.54
0.8,8,0.0,0.646,0.0,0.0,0.0,0.0,91171.4,2678.4,0.0,197.25
0.8,9,0.0,0.632,0.0,0.0,0.0,0.0,91197.4,2605.8,0.0,205.6
1.0,0,0.0,0.65,0.0,0.0,0.0,0.0,91108.4,2631.8,0.0,209.33
1.0,1,0.0,0.642,0.0,0.0,0.0,0.0,91315.2,2665.6,0.0,277.29
1.0,2,0.0,0.634,0.0,0.0,0.0,0.0,91325.0,2698.6,0.0,197.74
1.0,3,0.0,0.654,0.0,0.0,0.0,0.0,91253.4,2646.0,0.0,217.3
1.0,4,0.0,0.644,0.0,0.0,0.0,0.0,91419.2,2593.0,0.0,213.65
1.0,5,0.0,0.634,0.0,0.0,0.0,0.0,91235.0,2612.8,0.0,219.09
1.0,6,0.0,0.636,0.0,0.0,0.0,0.0,91397.8,2530.6,0.0,202.68
1.0,7,0.0,0.63,0.0,0.0,0.0,0.0,91267.8,2597.4,0.0,201.1
1.0,8,0.0,0.646,0.0,0.0,0.0,0.0,91305.0,2631.6,0.0,210.61
1.0,9,0.0,0.628,0.0,0.0,0.0,0.0,91211.6,2486.2,0.0,206.82
